This file was written by a simple STM32F0 SD card example.
More specifically, by build number 46, created on 20170223.
The example provides a simple temperature logger:
Time (ms), Temperature (°C)
00000000, 42.53
00000100, 44.97
00000200, 44.78
00000300, 44.78
00000400, 44.78
00000500, 44.60
00000600, 44.97
00000700, 44.78
00000800, 44.78
00000900, 44.60
00001000, 44.78
00001100, 44.60
00001200, 44.78
00001300, 44.78
00001400, 45.34
00001500, 45.16
00001600, 44.97
00001700, 44.97
00001800, 45.34
00001900, 44.78
00002000, 44.41
00002100, 45.72
00002200, 45.72
00002300, 45.34
00002400, 44.97
00002500, 44.97
00002600, 44.97
00002700, 45.72
00002800, 44.97
00002900, 45.34
00003000, 44.78
00003100, 44.97
00003200, 45.16
00003300, 45.16
00003400, 45.34
00003500, 45.16
00003600, 44.78
00003700, 44.97
00003800, 44.97
00003900, 45.16
00004000, 45.72
00004100, 44.97
00004200, 44.97
00004300, 45.34
00004400, 45.34
00004500, 45.34
00004600, 44.78
00004700, 45.16
00004800, 44.97
00004900, 44.78
00005000, 45.34
00005100, 45.34
00005200, 45.34
00005300, 44.78
00005400, 45.34
00005500, 45.34
00005600, 44.78
00005700, 44.97
00005800, 44.97
00005900, 45.72
00006000, 45.34
00006100, 45.34
00006200, 45.72
00006300, 44.97
00006400, 44.97
00006500, 44.97
00006600, 44.78
00006700, 45.34
00006800, 45.34
00006900, 44.97
00007000, 44.97
00007100, 45.34
00007200, 45.34
00007300, 44.97
00007400, 45.16
00007500, 45.53
00007600, 44.97
00007700, 44.97
00007800, 44.97
00007900, 45.72
00008000, 45.34
00008100, 44.97
00008200, 46.09
00008300, 44.97
00008400, 45.34
00008500, 45.16
00008600, 44.97
00008700, 45.16
00008800, 44.97
00008900, 44.60
00009000, 44.97
00009100, 44.97
00009200, 44.97
00009300, 45.34
00009400, 45.16
00009500, 44.97
00009600, 45.16
00009700, 45.53
00009800, 44.78
00009900, 45.34
00010000, 45.34
00010100, 45.34
00010200, 44.78
00010300, 44.97
00010400, 45.34
00010500, 45.34
00010600, 44.41
00010700, 44.41
00010800, 45.16
00010900, 44.78
00011000, 45.34
00011100, 44.41
00011200, 45.34
00011300, 44.97
00011400, 44.78
00011500, 44.97
00011600, 45.16
00011700, 44.78
00011800, 44.97
00011900, 44.78
00012000, 44.78
00012100, 45.53
00012200, 44.97
00012300, 44.78
00012400, 44.78
00012500, 45.16
00012600, 44.41
00012700, 45.34
00012800, 45.16
00012900, 44.97
00013000, 45.16
00013100, 45.16
00013200, 44.78
00013300, 45.34
00013400, 45.34
00013500, 44.97
00013600, 44.97
00013700, 44.78
00013800, 44.78
00013900, 44.97
00014000, 44.97
00014100, 45.16
00014200, 45.16
00014300, 45.16
00014400, 44.97
